country,continent,year,lifeExp,pop,gdpPercap
S1,S1,1,439.337,1,1
S1,S1,2,438.58,9240934,2
S1,S1,3,438.58,10267083,3
S1,S1,4,438.708,11537966,4
S1,S1,5,438.708,13079460,5
S1,S1,6,439.155,14880372,6
S1,S1,7,439.155,12881816,7
S1,S1,8,438.978,13867957,8
S1,S1,9,438.978,16317921,9
S1,S1,10,438.776,22227415,10
S1,S1,11,438.776,25268405,11
S1,S1,12,438.847,31889923,12
S1,S1,13,438.847,1282697,13
S1,S1,14,439.444,1476505,14
S1,S1,15,439.444,1728137,15
S1,S1,16,439.037,1984060,16
S1,S1,17,439.037,2263554,17
S1,S1,18,439.411,2509048,18
S1,S1,19,439.411,2780097,19
S1,S1,20,439.153,3075321,20
S1,S1,21,439.153,3326498,21
S1,S1,22,439.035,3428038,22
S1,S1,23,439.035,3508512,23
S1,S1,24,439.292,3600523,24
S1,S1,25,439.292,9279525,25
S1,S1,26,439.163,10270856,26
S1,S1,27,439.163,11000948,27
S1,S1,28,438.91,12760499,28
S1,S1,29,438.91,14760787,29
S1,S1,30,439.036,17152804,30
S1,S1,31,439.036,20033753,31
S1,S1,32,438.374,23254956,32
S1,S1,33,438.374,26298373,33
S1,S1,34,438.869,29072015,34
S1,S1,35,438.869,31287142,35
S1,S1,36,438.914,33333216,36
S1,S1,37,438.914,4232095,37
S1,S1,38,439.126,4561361,38
S1,S1,39,439.126,4826015,39
S1,S1,40,439.061,5247469,40
S1,S1,41,439.061,5894858,41
S1,S1,42,439.499,6162675,42
S1,S1,43,439.499,7016384,43
S1,S1,44,439.334,7874230,44
S1,S1,45,439.334,8735988,45
S1,S1,46,439.333,9875024,46
S1,S1,47,439.333,10866106,47
S1,S1,48,439.327,12420476,48
S1,S1,49,439.327,17876956,49
S1,S1,50,439.209,19610538,50
S1,S1,51,439.209,21283783,51
S1,S1,52,439.142,22934225,52
S1,S1,53,439.142,24779799,53
S1,S1,54,438.816,26983828,54
S1,S1,55,438.816,29341374,55
S1,S1,56,438.394,31620918,56
S1,S1,57,438.394,33958947,57
S1,S1,58,438.835,36203463,58
S1,S1,59,438.835,38331121,59
S1,S1,60,438.551,40301927,60
S1,S1,61,438.551,8691212,61
S1,S1,62,439.129,9712569,62
S1,S1,63,439.129,10794968,63
S1,S1,64,439.139,11872264,64
S1,S1,65,439.139,13177000,65
S1,S1,66,439.114,14074100,66
S1,S1,67,439.114,15184200,67
S1,S1,68,438.752,16257249,68
S1,S1,69,438.752,17481977,69
S1,S1,70,438.429,18565243,70
S1,S1,71,438.429,19546792,71
S1,S1,72,438.394,20434176,72
S1,S1,73,438.394,6927772,73
S1,S1,74,438.56,6965860,74
S1,S1,75,438.56,7129864,75
S1,S1,76,438.827,7376998,76
S1,S1,77,438.827,7544201,77
S1,S1,78,438.902,7568430,78
S1,S1,79,438.902,7574613,79
S1,S1,80,438.257,7578903,80
S1,S1,81,438.257,7914969,81
S1,S1,82,438.565,8069876,82
S1,S1,83,438.565,8148312,83
S1,S1,84,438.815,8199783,84
S1,S1,85,438.815,120447,85
S1,S1,86,439.162,138655,86
S1,S1,87,439.162,171863,87
S1,S1,88,439.061,202182,88
S1,S1,89,439.061,230800,89
S1,S1,90,438.951,297410,90
S1,S1,91,438.951,377967,91
S1,S1,92,438.674,454612,92
S1,S1,93,438.674,529491,93
S1,S1,94,438.839,598561,94
S1,S1,95,438.839,656397,95
S1,S1,96,438.443,708573,96
S1,S1,97,438.443,46886859,97
S1,S1,98,438.803,51365468,98
S1,S1,99,438.803,56839289,99
S1,S1,100,438.892,62821884,100
S1,S1,101,438.892,70759295,101
S1,S1,102,438.792,80428306,102
S1,S1,103,438.792,93074406,103
S1,S1,104,437.77,103764241,104
S1,S1,105,437.77,113704579,105
S1,S1,106,438.781,123315288,106
S1,S1,107,438.781,135656790,107
S1,S1,108,438.95,150448339,108
S1,S1,109,438.95,8730405,109
S1,S1,110,439.043,8989111,110
S1,S1,111,439.043,9218400,111
S1,S1,112,438.985,9556500,112
S1,S1,113,438.985,9709100,113
S1,S1,114,438.915,9821800,114
